clean_sum_logprob,condition,condition_damage,condition_sum_logprob,edge_query_position_count,edge_query_position_mode,edge_query_positions,fraction_of_full_ablation_damage,full_ablation_damage,full_ablation_sum_logprob,gold,idx,span_end,span_len,span_start,task
-0.001443550456315279,edge_gold,-0.00021310278680175543,-0.0012304476695135236,3,query,"[7053, 7054, 7055]",-3.760291148823752e-05,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,2691,22,2669,ceo_lastname
-0.001443550456315279,edge_distractor,-9.642099030315876e-06,-0.0014339083572849631,3,query,"[7053, 7054, 7055]",-1.7013902156759688e-06,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,375,22,353,ceo_lastname
-0.001443550456315279,edge_random,2.487876918166876e-05,-0.0014684292254969478,3,query,"[7053, 7054, 7055]",4.389966783235306e-06,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,2297,22,2275,ceo_lastname
-0.001443550456315279,edge_nonqr_gold,7.8920042142272e-05,-0.001522470498457551,3,query,"[7053, 7054, 7055]",1.3925783908609979e-05,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,2691,22,2669,ceo_lastname
-0.001443550456315279,edge_bottom_gold,1.2736883945763111e-05,-0.0014562873402610421,3,query,"[7053, 7054, 7055]",2.247478443789823e-06,5.667188480030745,-5.6686320304870605,Popham,828530_1993.txt_ceo_lastname_113,2691,22,2669,ceo_lastname
-0.08891995996236801,edge_gold,6.556510925292969e-07,-0.08892061561346054,2,query,"[7081, 7082]",7.488014821749309e-08,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,3336,41,3295,ceo_lastname
-0.08891995996236801,edge_distractor,0.0026926472783088684,-0.09161260724067688,2,query,"[7081, 7082]",0.0003075200050676161,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,317,41,276,ceo_lastname
-0.08891995996236801,edge_random,-2.987682819366455e-06,-0.08891697227954865,2,query,"[7081, 7082]",-3.4121522085471284e-07,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,2030,41,1989,ceo_lastname
-0.08891995996236801,edge_nonqr_gold,0.002673700451850891,-0.0915936604142189,2,query,"[7081, 7082]",0.00030535613896628564,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,3336,41,3295,ceo_lastname
-0.08891995996236801,edge_bottom_gold,0.001336716115474701,-0.09025667607784271,2,query,"[7081, 7082]",0.00015266275308918923,8.756006874144077,-8.844926834106445,Goldsmith,201461_1993.txt_ceo_lastname_77,3336,41,3295,ceo_lastname
-0.023493312299251556,edge_gold,0.0022133179008960724,-0.02570663020014763,2,query,"[7128, 7129]",0.00033574268287206037,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,3232,110,3122,ceo_lastname
-0.023493312299251556,edge_distractor,3.0856579542160034e-05,-0.023524168878793716,2,query,"[7128, 7129]",4.680697154053513e-06,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,378,110,268,ceo_lastname
-0.023493312299251556,edge_random,-0.0003312155604362488,-0.023162096738815308,2,query,"[7128, 7129]",-5.024276034853288e-05,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,5019,110,4909,ceo_lastname
-0.023493312299251556,edge_nonqr_gold,-0.0006803665310144424,-0.022812945768237114,2,query,"[7128, 7129]",-0.00010320617944971464,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,3232,110,3122,ceo_lastname
-0.023493312299251556,edge_bottom_gold,-6.881915032863617e-05,-0.02342449314892292,2,query,"[7128, 7129]",-1.0439316536931978e-05,6.592304207384586,-6.615797519683838,Loucks,10456_1993.txt_ceo_lastname_99,3232,110,3122,ceo_lastname
-0.0003502972249407321,edge_gold,-4.385484498925507e-05,-0.00030644237995147705,2,query,"[7179, 7180]",-1.541166168930544e-05,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,3669,174,3495,ceo_lastname
-0.0003502972249407321,edge_distractor,8.341448847204447e-07,-0.00035113136982545257,2,query,"[7179, 7180]",2.9313884854286764e-07,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,767,174,593,ceo_lastname
-0.0003502972249407321,edge_random,9.533250704407692e-07,-0.0003512505500111729,2,query,"[7179, 7180]",3.3502167136074013e-07,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,539,174,365,ceo_lastname
-0.0003502972249407321,edge_nonqr_gold,2.335660974495113e-05,-0.00037365383468568325,2,query,"[7179, 7180]",8.208082087315933e-06,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,3669,174,3495,ceo_lastname
-0.0003502972249407321,edge_bottom_gold,-1.3108947314321995e-06,-0.0003489863302092999,2,query,"[7179, 7180]",-4.606803676099175e-07,2.8455623977060895,-2.8459126949310303,Leva,77227_1993.txt_ceo_lastname_91,3669,174,3495,ceo_lastname
-0.00022122815425973386,edge_gold,0.0006357586389640346,-0.0008569867932237685,2,query,"[7064, 7065]",6.951561364640776e-05,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,3672,27,3645,ceo_lastname
-0.00022122815425973386,edge_distractor,-1.430191332474351e-06,-0.0002197979629272595,2,query,"[7064, 7065]",-1.5638108869544185e-07,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,933,27,906,ceo_lastname
-0.00022122815425973386,edge_random,1.1915108188986778e-07,-0.00022134730534162372,2,query,"[7064, 7065]",1.3028309906577785e-08,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,7038,27,7011,ceo_lastname
-0.00022122815425973386,edge_nonqr_gold,-2.6697380235418677e-05,-0.00019453077402431518,2,query,"[7064, 7065]",-2.919165633110015e-06,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,3672,27,3645,ceo_lastname
-0.00022122815425973386,edge_bottom_gold,-1.668595359660685e-06,-0.00021955955890007317,2,query,"[7064, 7065]",-1.8244884653611893e-07,9.145551705805701,-9.145772933959961,Beard,764764_1993.txt_ceo_lastname_45,3672,27,3645,ceo_lastname
